"Name","Country","Age","Height, cm","Weight","Sex","Date of birth","Gold","Silver","Bronze","Total","Sport"
"Elisabeth Mandaba","Central African Republic","23","","","F","6/7/1989","0","0","0","0","Athletics"
"Derek Mandell","Guam","25","173","61","M","9/18/1986","0","0","0","0","Athletics"
"Cedric Mandembo","Democratic Republic of the Congo","28","180","120","M","4/4/1984","0","0","0","0","Judo"
"Dusan Mandic","Serbia","18","190","91","M","6/16/1994","0","0","0","0","Water Polo"
"Milica Mandic","Serbia","20","180","","F","12/6/1991","0","0","0","0","Taekwondo"
"Sandra Mandir","Croatia","34","177","67","F","8/4/1977","0","0","0","0","Basketball"
"Rene Mandri","Estonia","28","184","66","M","1/20/1984","0","0","0","0","Cycling - Road"
"Ousmane Mane","Senegal","21","187","78","M","10/1/1990","0","0","0","0","Football"
"Sadio Mane","Senegal","20","175","75","M","4/10/1992","0","0","0","0","Football"
"Juthatip Maneephan","Thailand","24","156","59","F","7/8/1988","0","0","0","0","Cycling - Road"
"Davide Manenti","Italy","23","","","M","4/16/1989","0","0","0","0","Athletics"
"Milka Maneva","Bulgaria","27","167","63","F","6/7/1985","0","0","0","0","Weightlifting"
"Maiya Maneza","Kazakhstan","26","161","62","F","11/1/1985","1","0","0","1","Weightlifting"
"Veronique Mang","France","27","173","60","F","12/15/1984","0","0","0","0","Athletics"
"Vincenzo Mangiacapre","Italy","23","171","","M","1/17/1989","0","0","0","0","Boxing"
"Vuyisanani Mangisa","South Africa","24","162","56","F","8/14/1987","0","0","0","0","Hockey"
"Spenser Thomas Mango","United States of America","26","157","55","M","7/6/1986","0","0","0","0","Wrestling"
"Holley Mangold","United States of America","22","173","154","F","12/22/1989","0","0","0","0","Weightlifting"
"Shane Mangroo","Seychelles","19","170","80","M","3/12/1993","0","0","0","0","Swimming"
"Marta Mangue Gonzalez","Spain","29","170","75","F","4/23/1983","0","0","0","0","Handball"
"Christine Patiance Manie","Cameroon","28","157","61","F","5/4/1984","0","0","0","0","Football"
"Tina Manker","Germany","23","179","72","F","3/3/1989","0","0","0","0","Rowing"
"Peter Mankoc","Slovenia","34","192","88","M","7/4/1978","0","0","0","0","Swimming"
"John Mann","United States of America","27","198","113","M","6/27/1985","0","0","0","0","Water Polo"
"Ari Mannio","Finland","25","185","100","M","7/23/1987","0","0","0","0","Athletics"
"Asenate Manoa","Tuvalu","20","","","F","5/23/1992","0","0","0","0","Athletics"
"Francielle Manoel Alberto","Brazil","22","162","61","F","10/18/1989","0","0","0","0","Football"
"Manoj Kumar","India","25","","","M","12/10/1986","0","0","0","0","Boxing"
"Nikola Manojlovic","Serbia","30","195","100","M","12/1/1981","0","0","0","0","Handball"
"Luis Mansilla","Chile","26","175","68","M","7/26/1986","0","0","0","0","Cycling - Track"
"Robert Manson","New Zealand","22","188","89","M","10/11/1989","0","0","0","0","Rowing"
"Mostafa Mansour","Egypt","23","174","67","M","3/4/1989","0","0","0","0","Canoe Sprint"
"Nawal Mansouri","Algeria","27","174","64","F","8/1/1985","0","0","0","0","Volleyball"
"Dilshod Mansurov","Uzbekistan","28","150","55","M","12/12/1983","0","0","0","0","Wrestling"
"Sergio Mantecon Gutierrez","Spain","27","179","71","M","9/25/1984","0","0","0","0","Cycling - Mountain Bike"
"Richard Mantell","Great Britain","30","189","92","M","8/17/1981","0","0","0","0","Hockey"
"Nadir Manuel","Angola","25","187","79","F","11/30/1986","0","0","0","0","Basketball"
"Guzel Manyurova","Kazakhstan","34","165","63","F","1/24/1978","0","0","0","0","Wrestling"
"Sumeyye Manz","Germany","22","164","","F","10/30/1989","0","0","0","0","Taekwondo"
"Leonel Manzano","United States of America","27","165","57","M","9/12/1984","0","0","0","0","Athletics"
"Jorge Maqueda Peno","Spain","24","197","102","M","2/6/1988","0","0","0","0","Handball"
"Juliano Fernando Gento Maquina","Mozambique","18","169","","M","8/18/1993","0","0","0","0","Boxing"
"Nastassia Marachkouskaya","Belarus","21","167","","F","9/19/1990","0","0","0","0","Gymnastics - Artistic"
"Lenise Marais","South Africa","27","159","52","F","4/28/1985","0","0","0","0","Hockey"
"Diego Marani","Italy","22","","","M","4/27/1990","0","0","0","0","Athletics"
"Vlasios Maras","Greece","29","160","","M","3/31/1983","0","0","0","0","Gymnastics - Artistic"
"Flavio Marazzi","Switzerland","34","191","100","M","2/7/1978","0","0","0","0","Sailing"
"James Marburg","Australia","29","191","94","M","12/27/1982","0","0","0","0","Rowing"
"Cesar Marcano","Venezuela","24","175","80","M","10/22/1987","0","0","0","0","Cycling - Track"
"Kathrin Marchand","Germany","21","182","75","F","11/15/1990","0","0","0","0","Rowing"
"Marcel Marcilloux","France","31","178","76","M","13/10/1980 (FRA)","0","0","0","0","Fencing"
"Marcin Marciniszyn","Poland","29","184","80","M","9/7/1982","0","0","0","0","Athletics"
"Carolina Marin","Spain","19","172","65","F","6/15/1993","0","0","0","0","Badminton"
"Luca Marin","Italy","26","182","60","M","4/9/1986","0","0","0","0","Swimming"
"Alvaro Marinho","Portugal","36","177","67","M","3/15/1976","0","0","0","0","Sailing"
"Diego Marino","Spain","22","187","80","M","5/9/1990","0","0","0","0","Football"
"Hristo Diyanov Marinov","Bulgaria","25","180","84","M","3/14/1987","0","0","0","0","Wrestling"
"Simona Marinova","Former Yugoslav Republic of Macedonia","18","175","67","F","7/2/1994","0","0","0","0","Swimming"
"Dragan Marjanac","Serbia","27","190","90","M","2/26/1985","0","0","0","0","Handball"
"Lauryn Mark","Australia","32","168","52","F","4/15/1980","0","0","0","0","Shooting"
"Russell Mark","Australia","48","183","88","M","2/25/1964","0","0","0","0","Shooting"
"Ida Marko-Varga","Sweden","27","170","62","F","3/10/1985","0","0","0","0","Swimming"
"Alexey Markov","Russian Federation","33","181","81","M","5/26/1979","0","0","0","0","Cycling - Track"
"Ivan Markov","Bulgaria","23","175","85","M","9/14/1988","0","0","0","0","Weightlifting"
"Dobrivoje Markovic","Serbia","26","188","81","M","4/22/1986","0","0","0","0","Handball"
"Dorde Markovic","Serbia","24","195","83","M","9/20/1987","0","0","0","0","Swimming"
"Karl Markt","Austria","32","182","75","M","3/8/1980","0","0","0","0","Cycling - Mountain Bike"
"Nikolaj Markussen","Denmark","24","212","101","M","8/1/1988","0","0","0","0","Handball"
"Anca Maroiu","Romania","28","174","68","F","8/5/1983","0","0","0","0","Fencing"
"Mc Kayla Maroney","United States of America","16","160","","F","12/9/1995","1","0","0","1","Gymnastics - Artistic"
"Adam Marosi","Hungary","28","181","75","M","7/26/1984","0","0","0","0","Modern Pentathlon"
"Darcy Marquardt","Canada","33","182","76","F","3/22/1979","0","1","0","1","Rowing"
"Yane Marques","Brazil","28","167","53","F","1/7/1984","0","0","0","0","Modern Pentathlon"
"Zoi Mafalda Marques de Lima","Portugal","20","163","","F","10/7/1991","0","0","0","0","Gymnastics - Artistic"
"Gilles Marquet","Mauritius","18","187","72","M","1/11/1994","0","0","0","0","Swimming"
"Dayron Marquez","Colombia","29","178","85","M","6/11/1983","0","0","0","0","Athletics"
"Eduar Marriaga Campo","Colombia","19","176","","M","11/25/1992","0","0","0","0","Boxing"
"Dato Marsagishvili","Georgia","21","186","84","M","3/30/1991","0","0","0","0","Wrestling"
"Penelope Marshall","New Zealand","23","183","67","F","7/27/1989","0","0","0","0","Swimming"
"Savannah Marshall","Great Britain","21","181","","F","5/19/1991","0","0","0","0","Boxing"
"Dzmitry Marshin","Azerbaijan","39","186","115","M","9/15/1972","0","0","0","0","Athletics"
"Niverka Dharlenis Marte Frica","Dominican Republic","21","178","71","F","10/19/1990","0","0","0","0","Volleyball"
"Adrienne Martelli","United States of America","24","185","79","F","12/3/1987","0","0","1","1","Rowing"
"Michal Martikan","Slovakia","33","170","71","M","5/18/1979","0","0","1","1","Canoe Slalom"
"Alvaro Martin","Spain","18","182","72","M","6/18/1994","0","0","0","0","Athletics"
"Annie Martin","Canada","30","170","61","F","9/7/1981","0","0","0","0","Beach Volleyball"
"Arielle Martin","United States of America","27","165","65","F","7/30/1985","0","0","0","0","Cycling - BMX"
"Boyd Martin","United States of America","32","185","68","M","8/20/1979","0","0","0","0","Equestrian"
"Damir Martin","Croatia","24","188","94","M","7/14/1988","0","1","0","1","Rowing"
"Daniel Martin","Ireland","25","176","62","M","8/20/1986","0","0","0","0","Cycling - Road"
"Diana Martin","Spain","31","163","50","F","4/1/1981","0","0","0","0","Athletics"
"Harry Martin","Great Britain","19","182","77","M","10/23/1992","0","0","0","0","Hockey"
"Jenna Martin","Canada","24","173","65","F","3/31/1988","0","0","0","0","Athletics"
"Razvan Constantin Martin","Romania","20","158","69","M","12/22/1991","0","0","1","1","Weightlifting"
"Scott Martin","Australia","29","190","135","M","10/12/1982","0","0","0","0","Athletics"
"Tony Martin","Germany","27","186","75","M","4/23/1985","0","1","0","1","Cycling - Road"
"Carmen Martin Berenguer","Spain","24","168","63","F","5/29/1988","0","0","0","0","Handball"
"Jose Manuel Martin Dockx","Spain","38","182","79","M","1/7/1974","0","0","0","0","Equestrian"
"David Martin Lozano","Spain","35","177","78","M","1/2/1977","0","0","0","0","Water Polo"
"Bibiana Martina","Equatorial Guinea","29","176","68","F","12/2/1982","0","0","0","0","Athletics"
"Churandy Martina","Netherlands","28","178","74","M","7/3/1984","0","0","0","0","Athletics"
"Alexis G Martinez","Mexico","21","161","51","F","5/19/1991","0","0","0","0","Shooting"
"Aymee Martinez","Cuba","23","","","F","11/17/1988","0","0","0","0","Athletics"
"Guillermo Martinez","Cuba","31","","","M","6/28/1981","0","0","0","0","Athletics"
"Inigo Martinez","Spain","21","181","77","M","5/17/1991","0","0","0","0","Football"
"Javier Martinez","Spain","23","189","79","M","9/2/1988","0","0","0","0","Football"
"Kaina Martinez","Belize","26","157","59","F","2/20/1986","0","0","0","0","Athletics"
"Maria Martinez","Venezuela","29","170","59","F","1/3/1983","0","0","0","0","Fencing"
"Mario Martinez","Honduras","23","170","70","M","7/30/1989","0","0","0","0","Football"
"Raul Martinez Colomer","Puerto Rico","24","","","M","4/11/1988","0","0","0","0","Swimming"
"Iker Martinez de Lizarduy","Spain","35","173","70","M","6/16/1977","0","0","0","0","Sailing"
"Maria Jose Martinez Sanchez","Spain","29","176","68","F","8/12/1982","0","0","0","0","Tennis"
"Graciela Martins","Guinea-Bissau","25","166","60","F","4/5/1987","0","0","0","0","Athletics"
"Pedro Martins","Portugal","22","175","68","M","2/14/1990","0","0","0","0","Badminton"
"Tigran Martirosyan","Armenia","24","170","77","M","6/9/1988","0","0","0","0","Weightlifting"
"Anita Marton","Hungary","23","172","90","F","1/15/1989","0","0","0","0","Athletics"
"Carmen Marton","Australia","26","172","","F","6/30/1986","0","0","0","0","Taekwondo"
"Sebastian Martos","Spain","23","178","63","M","6/20/1989","0","0","0","0","Athletics"
"Sergei Martynov","Belarus","44","172","70","M","5/18/1968","1","0","0","1","Shooting"
"Ekaterina Martynova","Russian Federation","25","172","59","F","8/6/1986","0","0","0","0","Athletics"
"Yana Martynova","Russian Federation","24","179","64","F","2/3/1988","0","0","0","0","Swimming"
"Lenka Maruskova","Czech Republic","27","175","75","F","2/2/1985","0","0","0","0","Shooting"
"Karina Maruyama","Japan","29","162","55","F","3/26/1983","0","0","0","0","Football"
"Vasilisa Marzalyuk","Belarus","25","180","72","F","6/23/1987","0","0","0","0","Wrestling"
"Gioia Marzocca","Italy","33","169","59","F","6/22/1979","0","0","0","0","Fencing"
"Moses Ndiema Masai","Kenya","26","172","60","M","6/1/1986","0","0","0","0","Athletics"
"Rolandas Mascinskas","Lithuania","19","199","96","M","8/6/1992","0","0","0","0","Rowing"
"Pavel Maslak","Czech Republic","21","176","67","M","2/21/1991","0","0","0","0","Athletics"
"Marina Maslenko","Kazakhstan","30","164","57","F","7/3/1982","0","0","0","0","Athletics"
"Olha Maslivets","Ukraine","34","170","70","F","6/23/1978","0","0","0","0","Sailing"
"Lenka Masna","Czech Republic","27","170","55","F","4/22/1985","0","0","0","0","Athletics"
"Jamele Mason","Puerto Rico","22","","","M","10/19/1989","0","0","0","0","Athletics"
"Michael Mason","Canada","25","186","67","M","9/30/1986","0","0","0","0","Athletics"
"Yousef Ahmed Masrahi","Saudi Arabia","24","","","M","12/31/1987","0","0","0","0","Athletics"
"Alexander Massialas","United States of America","18","191","76","M","4/20/1994","0","0","0","0","Fencing"
"Chana Masson","Brazil","33","183","79","F","12/18/1978","0","0","0","0","Handball"
"Natalie Mastracci","Canada","23","178","75","F","6/5/1989","0","1","0","1","Rowing"
"Luigi Mastrangelo","Italy","36","202","90","M","8/17/1975","0","0","0","0","Volleyball"
"Anna Mastyanina","Russian Federation","24","170","68","F","12/28/1987","0","0","0","0","Shooting"
"Kamil Masztak","Poland","28","186","81","M","7/16/1984","0","0","0","0","Athletics"
"Jayme Mata","Aruba","29","170","66","M","12/17/1982","0","0","0","0","Judo"
"Juan Mata","Spain","24","172","65","M","4/28/1988","0","0","0","0","Football"
"Marcos Mata","Argentina","26","199","105","M","8/1/1986","0","0","0","0","Basketball"
"Andres Eduardo Mata Perez","Spain","19","174","77","M","11/11/1992","0","0","0","0","Weightlifting"
"Risto Matas","Estonia","28","189","92","M","4/30/1984","0","0","0","0","Athletics"
"Hunor Mate","Austria","29","","","M","3/13/1983","0","0","0","0","Swimming"
"Alexandru Matei","Romania","31","195","95","M","12/31/1980","0","0","0","0","Water Polo"
"Robert Mateusiak","Poland","36","169","65","M","1/13/1976","0","0","0","0","Badminton"
"Diana Beverly Matheson","Canada","28","153","53","F","4/6/1984","0","0","0","0","Football"
"Jonas Matheus","Namibia","26","170","","M","4/29/1986","0","0","0","0","Boxing"
"Courtney Mathewson","United States of America","25","170","71","F","9/14/1986","0","0","0","0","Water Polo"
"Michael Mathieu","Bahamas","28","178","77","M","6/24/1984","0","0","0","0","Athletics"
"Ahmed Mathlouthi","Tunisia","22","190","90","M","12/18/1989","0","0","0","0","Swimming"
"Daniele Matias Hypolito","Brazil","27","147","","F","9/8/1984","0","0","0","0","Gymnastics - Artistic"
"Anna Matienko","Russian Federation","31","182","68","F","7/12/1981","0","0","0","0","Volleyball"
"Iwona Nina Matkowska","Poland","30","162","48","F","5/28/1982","0","0","0","0","Wrestling"
"Marcin Matkowski","Poland","31","185","90","M","1/15/1981","0","0","0","0","Tennis"
"Noko Matlou","South Africa","26","164","61","F","9/30/1985","0","0","0","0","Football"
"Erica Matos","Brazil","29","158","","F","5/24/1983","0","0","0","0","Boxing"
"Alena Matoshka","Belarus","30","177","80","F","6/23/1982","0","0","0","0","Athletics"
"Martha Matsa","Greece","25","184","65","F","4/5/1987","0","0","0","0","Swimming"
"Sibusiso Matsenjwa","Swaziland","24","180","81","M","5/2/1988","0","0","0","0","Athletics"
"Margarita Matsko Mukasheva","Kazakhstan","26","166","50","F","1/4/1986","0","0","0","0","Athletics"
"Rie Matsubara","Japan","18","165","","F","10/21/1993","0","0","0","0","Gymnastics - Rhythmic"
"Takeshi Matsuda","Japan","28","184","85","M","6/23/1984","0","0","1","1","Swimming"
"Tomoyuki Matsuda","Japan","36","174","70","M","12/12/1975","0","0","0","0","Shooting"
"Kaori Matsumoto","Japan","24","162","57","F","9/11/1987","1","0","0","1","Judo"
"Ryutaro Matsumoto","Japan","26","168","60","M","1/16/1986","0","0","0","0","Wrestling"
"Yayoi Matsumoto","Japan","22","168","65","F","3/8/1990","0","0","0","0","Swimming"
"Mina Matsushima","Japan","21","166","57","F","1/25/1991","0","0","0","0","Swimming"
"Momotaro Matsushita","Japan","24","168","75","M","3/3/1988","0","0","0","0","Canoe Sprint"
"Adrien Mattenet","France","24","188","75","M","10/15/1987","0","0","0","0","Table Tennis"
"Matti Mattsson","Finland","18","189","83","M","10/5/1993","0","0","0","0","Swimming"
"Sofia Mattsson","Sweden","22","164","55","F","11/11/1989","0","0","0","0","Wrestling"
"Nick Matuhin","Germany","22","198","120","M","4/5/1990","0","0","0","0","Wrestling"
"Kay Matysik","Germany","32","191","88","M","6/18/1980","0","0","0","0","Beach Volleyball"
"Angela Maurer","Germany","37","172","60","F","7/27/1975","0","0","0","0","Swimming"
"Nacissela Mauricio","Angola","32","186","80","F","6/2/1980","0","0","0","0","Basketball"
"Marie Mavers","Germany","21","170","68","F","2/13/1991","0","0","0","0","Hockey"
"Radoslava Mavrodieva","Bulgaria","25","178","86","F","3/13/1987","0","0","0","0","Athletics"
"Nikolaos Mavrommatis","Greece","32","165","80","M","7/19/1980","0","0","0","0","Shooting"
"Victoria Max-Theurer","Austria","26","168","57","F","10/24/1985","0","0","0","0","Equestrian"
"Nikolay Maximov","Kazakhstan","39","190","95","M","11/15/1972","0","0","0","0","Water Polo"
"Kyle Maxwell","Barbados","21","188","73","M","12/1/1990","0","0","0","0","Judo"
"Tanith Maxwell","South Africa","36","169","53","F","6/2/1976","0","0","0","0","Athletics"
"Misty May-Treanor","United States of America","35","175","72","F","7/30/1977","0","0","0","0","Beach Volleyball"
"Gerhard Mayer","Austria","32","191","109","M","5/20/1980","0","0","0","0","Athletics"
"Joanne Mayer","France","19","167","57","F","3/16/1993","0","0","0","0","Canoe Sprint"
"Kevin Mayer","France","20","185","75","M","2/10/1992","0","0","0","0","Athletics"
"Jane Mayes","Great Britain","23","173","88","F","1/10/1989","0","0","0","0","Handball"
"Miguel Mayol","Argentina","31","178","73","M","5/18/1981","0","0","0","0","Rowing"
"Lesyani Mayor","Cuba","33","","","F","7/8/1979","0","0","0","0","Athletics"
"Albina Mayorova","Russian Federation","35","167","50","F","5/16/1977","0","0","0","0","Athletics"
"Andrea Mayr","Austria","32","175","54","F","10/15/1979","0","0","0","0","Athletics"
"Camilo Mayr","Germany","21","178","74","M","3/4/1991","0","0","0","0","Archery"
"Ali Mazaheri","Islamic Republic of Iran","30","189","","M","3/31/1982","0","0","0","0","Boxing"
"Michael Maze","Denmark","30","185","76","M","9/1/1981","0","0","0","0","Table Tennis"
"Mirna Mazic","Croatia","26","188","79","F","12/24/1985","0","0","0","0","Basketball"
"Hodei Mazquiaran Uria","Spain","23","195","102","M","12/16/1988","0","0","0","0","Cycling - Track"
"Viktoriia Mazur","Ukraine","17","170","","F","10/15/1994","0","0","0","0","Gymnastics - Rhythmic"
"Maksym Mazuryk","Ukraine","29","190","90","M","4/2/1983","0","0","0","0","Athletics"
"Annamaria Mazzetti","Italy","23","161","51","F","8/25/1988","0","0","0","0","Triathlon"
"Agustin Mazzilli","Argentina","23","173","77","M","6/20/1989","0","0","0","0","Hockey"
"Samson Mbingui","Gabon","20","180","68","M","2/9/1992","0","0","0","0","Football"
"Kara Mbodji","Senegal","22","192","85","M","11/22/1989","0","0","0","0","Football"
"Shea McAleese","New Zealand","27","177","84","M","8/7/1984","0","0","0","0","Hockey"
"Conlin Mccabe","Canada","21","205","100","M","8/20/1990","0","1","0","1","Rowing"
"Martha Mccabe","Canada","22","168","58","F","8/4/1989","0","0","0","0","Swimming"
"Andrew McCabe","Australia","21","188","83","M","8/29/1990","0","0","0","0","Athletics"
"Lynn McCafferty","Great Britain","33","168","64","F","4/16/1979","0","0","0","0","Handball"
"Melanie Mccann","Canada","22","173","58","F","10/8/1989","0","0","0","0","Modern Pentathlon"
"Fiona McCann","Great Britain","25","172","66","F","5/13/1987","0","0","0","0","Water Polo"
"Alex McCarthy","Great Britain","22","193","88","M","12/3/1989","0","0","0","0","Football"
"Caitlin Mcclatchey","Great Britain","26","170","57","F","11/28/1985","0","0","0","0","Swimming"
"Eilish McColgan","Great Britain","21","154","53","F","11/25/1990","0","0","0","0","Athletics"
"Daniel Mcconnell","Australia","26","180","70","M","8/9/1985","0","0","0","0","Cycling - Mountain Bike"
"Lee McConnell","Great Britain","33","177","64","F","10/9/1978","0","0","0","0","Athletics"
"Jason Mccoombs","Canada","19","180","82","M","4/24/1993","0","0","0","0","Canoe Sprint"
"Alicia Mccormack","Australia","29","168","72","F","6/7/1983","0","0","0","0","Water Polo"
"Riley Mccormick","Canada","20","172","66","M","8/25/1991","0","0","0","0","Diving"
"Nick McCormick","Great Britain","30","188","70","M","9/11/1981","0","0","0","0","Athletics"
"Francena McCorory","United States of America","23","173","68","F","10/20/1988","0","0","0","0","Athletics"
"Angel McCoughtry","United States of America","25","185","70","F","9/10/1986","0","0","0","0","Basketball"
"Nicholas Mccrory","United States of America","20","180","74","M","8/9/1991","0","0","1","1","Diving"
"Kaarle Mcculloch","Australia","24","168","69","F","1/20/1988","0","0","1","1","Cycling - Track"
"Thornton McDade","South Africa","31","180","72","M","10/28/1980","0","0","0","0","Hockey"
"Christopher McDermott","Great Britain","23","204","105","M","6/7/1989","0","0","0","0","Handball"
"Rusheen McDonald","Jamaica","19","170","77","M","8/17/1992","0","0","0","0","Athletics"
"Cameron Mcevoy","Australia","18","185","85","M","5/13/1994","0","0","0","0","Swimming"
"Adam McGeorge","New Zealand","23","181","80","M","3/30/1989","0","0","0","0","Football"
"Tyler Mcgill","United States of America","24","180","78","M","8/18/1987","0","0","0","0","Swimming"
"Mark Mcgivern","Great Britain","29","195","87","M","2/24/1983","0","0","0","0","Volleyball"
"Michael McGlinchey","New Zealand","25","174","67","M","1/7/1987","0","0","0","0","Football"
"Matt Mcgovern","Ireland","27","180","79","M","9/20/1984","0","0","0","0","Sailing"
"Hamish McGregor","New Zealand","24","188","98","M","1/30/1988","0","0","0","0","Hockey"
"Sam McGregor","Australia","27","192","105","M","8/12/1984","0","0","0","0","Water Polo"
"Kobie Mcgurk","Australia","26","168","64","F","8/20/1985","0","0","0","0","Hockey"
"Christina McHale","United States of America","20","170","61","F","5/11/1992","0","0","0","0","Tennis"
"Kate Mcilroy","New Zealand","30","173","60","F","8/26/1981","0","0","0","0","Athletics, Triathlon"
"Jennifer Mcintosh","Great Britain","21","175","71","F","6/17/1991","0","0","0","0","Shooting"
"Raasin McIntosh","Liberia","30","170","59","F","4/29/1982","0","0","0","0","Athletics"
"Anton Sveinn Mckee","Iceland","18","","","M","12/18/1993","0","0","0","0","Swimming"
"Ed Mckeever","Great Britain","28","173","79","M","8/27/1983","0","0","0","0","Canoe Sprint"
"Ned Mckendry","Australia","20","188","86","M","7/4/1992","0","0","0","0","Swimming"
"Ashley Mckenzie","Great Britain","23","162","60","M","7/17/1989","0","0","0","0","Judo"
"Cameron Mckenzie-Mcharg","Australia","32","196","98","M","4/17/1980","0","0","0","0","Rowing"
"David Mckeon","Australia","20","195","85","M","7/25/1992","0","0","0","0","Swimming"
"David Mckienzie","United States of America","33","193","101","M","7/5/1979","0","0","0","0","Volleyball"
"Kaila McKnight","Australia","26","172","52","F","5/5/1986","0","0","0","0","Athletics"
"Sparkle McKnight","Trinidad and Tobago","20","158","155","F","12/21/1991","0","0","0","0","Athletics"
"Sarah McLaughlin","New Zealand","21","165","68","F","6/3/1991","0","0","0","0","Football"
"Matthew Mclean","United States of America","24","198","100","M","5/13/1988","1","0","0","1","Swimming"
"Erin Katrina McLeod","Canada","29","174","73","F","2/26/1983","0","0","0","0","Football"
"Brent Mcmahon","Canada","31","178","64","M","9/17/1980","0","0","0","0","Triathlon"
"Sycerika Mcmahon","Ireland","17","170","60","F","4/11/1995","0","0","0","0","Swimming"
"Dorian Mcmenemy","Dominican Republic","15","180","70","F","10/28/1996","0","0","0","0","Swimming"
"Andy Mcmillan","New Zealand","27","189","87","M","4/2/1985","0","0","0","0","Swimming"
"Chantae McMillan","United States of America","24","173","69","F","5/1/1988","0","0","0","0","Athletics"
"Daniel McMillan","Great Britain","29","189","93","M","8/12/1982","0","0","0","0","Handball"
"Stuart Mcnay","United States of America","31","170","64","M","8/1/1981","0","0","0","0","Sailing"
"David McNeill","Australia","25","173","52","M","10/6/1986","0","0","0","0","Athletics"
"Michael Mcphail","United States of America","30","183","88","M","12/15/1981","0","0","0","0","Shooting"
"Paige Mcpherson","United States of America","21","173","","F","10/1/1990","0","0","0","0","Taekwondo"
"Tony McQuay","United States of America","22","180","70","M","4/16/1990","0","0","0","0","Athletics"
"James Mcrae","Australia","25","193","93","M","6/27/1987","0","0","1","1","Rowing"
"Rahman Md Mahfizur","Bangladesh","19","172","71","M","5/15/1993","0","0","0","0","Swimming"
"Katheryn Meaklim","South Africa","23","180","72","F","7/20/1989","0","0","0","0","Swimming"
"Anna Meares","Australia","28","165","72","F","9/21/1983","0","0","1","1","Cycling - Track"
"Chris Mears","Great Britain","19","172","70","M","2/7/1993","0","0","0","0","Diving"
"Judith Meauri","Papua New Guinea","20","161","55","F","4/5/1992","0","0","0","0","Swimming"
"Aya Medany","Egypt","23","","","F","11/20/1988","0","0","0","0","Modern Pentathlon"
"Pedro Medel","Cuba","20","","","M","9/10/1991","0","0","0","0","Swimming"
"Teklemariam Medhin","Eritrea","23","184","61","M","6/24/1989","0","0","0","0","Athletics"
"Paula Medina","Colombia","23","163","73","F","4/12/1989","0","0","0","0","Table Tennis"
"Anabel Medina Garrigues","Spain","30","169","59","F","7/31/1982","0","0","0","0","Tennis"
"Bibi Medoua","Cameroon","18","164","65","F","8/9/1993","0","0","0","0","Football"
"Rita Medrano Munoz","Mexico","22","163","55","F","1/26/1990","0","0","0","0","Swimming"
"Ilya Medvedev","Russian Federation","28","196","84","M","11/18/1983","0","0","0","0","Canoe Sprint"
"Kenneth Medwood","Belize","24","178","75","M","12/14/1987","0","0","0","0","Athletics"
"Magomedrasul Medzhidov","Azerbaijan","25","190","","M","9/27/1986","0","0","0","0","Boxing"
"Helge Meeuw","Germany","27","178","76","M","8/29/1984","0","0","0","0","Swimming"
"Claudine Meffometou Tcheno","Cameroon","22","164","64","F","7/1/1990","0","0","0","0","Football"
"Abdellatif Meftah","France","30","173","59","M","1/3/1982","0","0","0","0","Athletics"
"Heykel Megannem","Tunisia","35","186","86","M","2/28/1977","0","0","0","0","Handball"
"Rehaset Mehari","Eritrea","23","165","51","F","3/5/1989","0","0","0","0","Athletics"
"Azmy Mehelba","Egypt","21","172","80","M","3/26/1991","0","0","0","0","Shooting"
"Admir Mehmedi","Switzerland","21","183","75","M","3/16/1991","0","0","0","0","Football"
"Majda Mehmedovic","Montenegro","22","171","63","F","5/25/1990","0","0","0","0","Handball"
"Sasha Mehmedovic","Canada","27","173","66","M","3/18/1985","0","0","0","0","Judo"
"Rashid Mehmood","Pakistan","24","","","M","8/15/1987","0","0","0","0","Hockey"
"Dominik Meichtry","Switzerland","27","183","74","M","11/18/1984","0","0","0","0","Swimming"
"Ophelie Meilleroux","France","28","164","62","F","1/18/1984","0","0","0","0","Football"
"Ruta Meilutyte","Lithuania","15","172","64","F","3/19/1997","1","0","0","1","Swimming"
"Gerek Meinhardt","United States of America","22","183","77","M","27/07/1990 (USA)","0","0","0","0","Fencing"
"Ben Youssef Meite","Côte d'Ivoire","25","180","84","M","11/11/1986","0","0","0","0","Athletics"
"Alfredo Mejia","Honduras","22","170","70","M","4/3/1990","0","0","0","0","Football"
"Joel Mejia","Dominican Republic","21","178","65","M","8/18/1990","0","0","0","0","Athletics"
"Marlies Mejias Garcia","Cuba","19","","","F","12/29/1992","0","0","0","0","Cycling - Track"
"Ahmed Mejri","Tunisia","22","172","","M","1/2/1990","0","0","0","0","Boxing"
"Aymen Mejri","Tunisia","23","180","72","M","8/16/1988","0","0","0","0","Rowing"
"Salah Mejri","Tunisia","26","216","110","M","6/15/1986","0","0","0","0","Basketball"
"Mahiedine Mekhissi-Benabbad","France","27","187","75","M","3/15/1985","0","0","0","0","Athletics"
"Egor Mekhontcev","Russian Federation","27","185","","M","11/14/1984","0","0","0","0","Boxing"
"Amel Mekic","Bosnia and Herzegovina","30","189","100","M","9/21/1981","0","0","0","0","Judo"
"Joliane Melancon","Canada","26","170","57","F","3/22/1986","0","0","0","0","Judo"
"Ines Melchor","Peru","25","158","55","F","8/30/1986","0","0","0","0","Athletics"
